"Timestamp","Please confirm the following before beginning the survey: 
Do you confirm that you have read and understood the above information? ","Do you understand that (please click boxes to indicate your understanding of each):","How would you describe your gender?","What is your age group?","What is your highest level of education?","What is your current job level/designation?","How many years have you been working in your current organization?","Which department/function do you primarily work in? ","How fair do you believe your current base salary is compared to others in similar roles with similar experience within your organization?","How transparent do you find the compensation structure and salary bands within your organization?","If applicable, how fair do you believe the criteria for receiving bonuses or performance-based incentives are?","Do you believe there is a gender pay gap within your organization?","What factors do you believe contribute to any perceived pay disparities in your organization? (Select all that apply)","How satisfied are you with the opportunities for career growth and promotion within your organization?","Do you believe that career advancement opportunities are equally accessible to all genders in your organization?","Have you received adequate access to training, mentorship, or development programs relevant to your career growth?","How fair and unbiased do you find the performance review and appraisal process in your organization?","How fair and unbiased do you find the performance review and appraisal process in your organization?","Do you feel your organization offers adequate support (e.g., flexible work arrangements, parental leave policies) for employees with family responsibilities?","To what extent do you feel that your contributions and opinions are valued equally, regardless of gender, in your team/department?","Have you personally experienced or witnessed any form of gender bias or discrimination in your current organization (e.g., in hiring, promotions, assignments, or daily interactions)? ","(If Yes to Q19) Please briefly describe the nature of the gender bias or discrimination you experienced/witnessed. (Optional)"," Do you feel comfortable reporting instances of discrimination or bias within your organization?  ","What suggestions do you have for your organization to further promote overall workplace equality?","Is there anything else you would like to share regarding your experiences or perceptions of pay equity in your workplace?"
"2025/07/01 11:33:41 AM GMT+1","","","Male","35-44","Master's Degree","Project Manager ","8-12 years","Operations ","3 - Neutral","3 - Moderately Transparent","3 - Neutral","No, not at all","Job level/hierarchy;Negotiation skills;Industry/market rates;Experience;Department/Function;Performance evaluations","2 - Dissatisfied","4 - Agree","4 - Agree","3 - Neutral","2 - Dissatisfied","3 - Neutral","4 - To a large extent","No","","3 - Moderately Comfortable","Op","Opportunities should be given to the right people and be unbiased everytime "
"2025/07/08 1:30:00 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Male","25-34","High School/Secondary School","Business analyst ","8-12 years","Marketing ","3 - Neutral","4 - Transparent","4 - Fair","No, not at all","Experience;Educational background;Performance evaluations","3 - Neutral","3 - Neutral","3 - Neutral","3 - Neutral","3 - Neutral","4 - Agree","4 - To a large extent","No","","4 - Comfortable","Great place to work","Na"
"2025/07/08 4:39:55 AM GMT+1","Yes","You may exit the survey at any time before submission.","Male","35-44","Master's Degree","Manager","13-17 years","Project Management ","3 - Neutral","2 - Slightly Transparent","4 - Fair","No, not at all","Performance evaluations","4 - Satisfied","4 - Agree","4 - Agree","3 - Neutral","4 - Satisfied","4 - Agree","3 - To some extent","Prefer not to say","I personally feel that diversity is no longer about women empowerment. It is more about statistics, appeasement. Some of the women i work with truly deserve the promotion and appraisal but some are promoted just to meet the quota. It is unfair to all the men who deserved that promotion. There is so much talk about equality but I seen that the system is now biased against men. Guess it is time for men to fight for equality ","4 - Comfortable","I personally feel that diversity is no longer about women empowerment. It is more about statistics, appeasement. Some of the women i work with truly deserve the promotion and appraisal but some are promoted just to meet the quota. It is unfair to all the men who deserved that promotion. There is so much talk about equality but I seen that the system is now biased against men. Guess it is time for men to fight for equality ",""
"2025/07/08 7:40:50 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Male","25-34","Bachelor's Degree","Team lead","1-3 years","Front end","3 - Neutral","4 - Transparent","4 - Fair","No, not at all","Job level/hierarchy;Negotiation skills;Industry/market rates","2 - Dissatisfied","5 - Strongly Agree","3 - Neutral","2 - Unfair","2 - Dissatisfied","3 - Neutral","3 - To some extent","Yes, personally experienced","Women often get less complex task","1 - Not at all Comfortable","Neutral higher management then someone who is already in favour of one gender type","Performance should be only criteria of pay and gender equality should NOT be considered at all at any stage for fair distribution"
"2025/07/08 10:51:28 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Male","35-44","Bachelor's Degree","Deputy Manager","8-12 years","Digital marketing","2 - Unfair","2 - Slightly Transparent","2 - Unfair","I don't know/Unsure","Negotiation skills;Department/Function;Performance evaluations","2 - Dissatisfied","3 - Neutral","3 - Neutral","2 - Unfair","2 - Dissatisfied","4 - Agree","3 - To some extent","Yes, witnessed","Promotion to female was provided although she was underperforming and  stack ranked in lower half of the team. Under diversity inclusion male candidates were denied promotion whilst the lady got it ahead of worthy personnel ","1 - Not at all Comfortable","Eliminate inclusion diversity parameters and evaluate basis of skill, effort and quality of task execution.","N/A"
"2025/07/09 12:10:24 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Female","25-34","Master's Degree","Digital Project Manager ","1-3 years","Marketing Operations ","3 - Neutral","1 - Not at all Transparent","2 - Unfair","Yes, a slight gap","Job level/hierarchy;Negotiation skills;Industry/market rates;Lack of transparency in pay scales;Performance evaluations","3 - Neutral","3 - Neutral","4 - Agree","3 - Neutral","4 - Satisfied","5 - Strongly Agree","4 - To a large extent","No","","4 - Comfortable","Having transparency and quarterly performance review ","No"
"2025/07/09 1:54:15 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Female","45-54","Bachelor's Degree","Vice President","13-17 years","Technology","3 - Neutral","3 - Moderately Transparent","3 - Neutral","Yes, a slight gap","Job level/hierarchy;Negotiation skills;Performance evaluations","3 - Neutral","3 - Neutral","3 - Neutral","3 - Neutral","2 - Dissatisfied","2 - Disagree","3 - To some extent","No","","2 - Slightly Comfortable","Consider performance and consistency","It's should be attitude performance consistency "
"2025/07/09 2:47:10 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Male","35-44","Bachelor's Degree","Software Engineer","1-3 years","IT","4 - Fair","4 - Transparent","4 - Fair","No, not at all","Experience;Educational background;Department/Function","3 - Neutral","4 - Agree","4 - Agree","4 - Fair","3 - Neutral","4 - Agree","4 - To a large extent","No","","3 - Moderately Comfortable","",""
"2025/07/09 4:13:04 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Female","35-44","Bachelor's Degree","Sr. Operations manager & legal rep","8-12 years","Operation ","3 - Neutral","4 - Transparent","4 - Fair","No, not at all","Job level/hierarchy","4 - Satisfied","5 - Strongly Agree","3 - Neutral","4 - Fair","4 - Satisfied","4 - Agree","5 - To a great extent","No","","5 - Very Comfortable","",""
"2025/07/09 4:15:16 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your data cannot be withdrawn once submitted due to full anonymity.","Male","35-44","Bachelor's Degree","Design Manager ","13-17 years","Architectural ","3 - Neutral","3 - Moderately Transparent","N/A - I do not receive bonuses/incentives","No, not at all","Performance evaluations","3 - Neutral","2 - Disagree","3 - Neutral","4 - Fair","3 - Neutral","3 - Neutral","3 - To some extent","No","","3 - Moderately Comfortable","To be give mor freedom and trust ","No"
"2025/07/09 4:46:03 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Male","35-44","Bachelor's Degree","Operation lead","4-7 years","ITES","4 - Fair","1 - Not at all Transparent","1 - Very Unfair","No, not at all","Job level/hierarchy;Industry/market rates","1 - Very Dissatisfied","5 - Strongly Agree","4 - Agree","1 - Very Unfair","1 - Very Dissatisfied","5 - Strongly Agree","2 - To a small extent","Yes, witnessed","With too much of focus on D&I talent get ignored","1 - Not at all Comfortable","Just to get things at an equilibrium one must not reverse the balance","My organisation does not have moderation process"
"2025/07/09 5:02:25 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Female","25-34","Bachelor's Degree","Web Developer","8-12 years","IT company","4 - Fair","5 - Very Transparent","4 - Fair","No, not at all","Job level/hierarchy;Negotiation skills;Industry/market rates;Experience;Educational background;Department/Function;Performance evaluations","5 - Very Satisfied","5 - Strongly Agree","4 - Agree","5 - Very Fair","4 - Satisfied","4 - Agree","1 - Not at all","No","","5 - Very Comfortable","",""
"2025/07/09 5:38:34 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Male","35-44","Master's Degree","Manager","18+ years","Payroll","4 - Fair","1 - Not at all Transparent","4 - Fair","No, not at all","Negotiation skills;Department/Function;Performance evaluations","4 - Satisfied","5 - Strongly Agree","5 - Strongly Agree","4 - Fair","4 - Satisfied","4 - Agree","5 - To a great extent","No","","4 - Comfortable","",""
"2025/07/09 6:17:45 AM GMT+1","Yes","You may exit the survey at any time before submission.;Your participation is voluntary and anonymous.;Your data cannot be withdrawn once submitted due to full anonymity.","Male","35-44","Bachelor's Degree","AVP","13-17 years","Marketing","2 - Unfair","1 - Not at all Transparent","2 - Unfair","I don't know/Unsure","Lack of transparency in pay scales","2 - Dissatisfied","3 - Neutral","3 - Neutral","1 - Very Unfair","2 - Dissatisfied","4 - Agree","4 - To a large extent","Yes, personally experienced","","3 - Moderately Comfortable","",""
"2025/07/09 6:42:19 AM GMT+1","Yes","Your data cannot be withdrawn once submitted due to full anonymity.","Female","25-34","Master's Degree","Medical Interpreter ","Less than 1 year","Medical ","3 - Neutral","2 - Slightly Transparent","3 - Neutral","No, not at all","Job level/hierarchy;Negotiation skills;Experience;Department/Function;Lack of transparency in pay scales","3 - Neutral","4 - Agree","4 - Agree","3 - Neutral","3 - Neutral","4 - Agree","4 - To a large extent","No","","3 - Moderately Comfortable","Work Life balance is very important nowadays. People are having major health issues which can be only solved with work life balance ","No "
